Datetime,close,high,low
2025-11-17 13:10:00+00:00,154480,154640,154410
2025-11-17 13:15:00+00:00,154500,154530,154250
2025-11-17 13:20:00+00:00,154580,154620,154440
2025-11-17 13:25:00+00:00,154490,154630,154420
2025-11-17 13:30:00+00:00,154230,154490,154210
2025-11-17 13:35:00+00:00,154000,154220,153950
2025-11-17 13:40:00+00:00,153890,154110,153860
2025-11-17 13:45:00+00:00,153960,153980,153810
2025-11-17 13:50:00+00:00,153850,154020,153790
2025-11-17 13:55:00+00:00,154010,154010,153790
2025-11-17 14:00:00+00:00,154010,154070,153890
2025-11-17 14:05:00+00:00,154050,154050,153930
2025-11-17 14:10:00+00:00,154230,154280,153990
2025-11-17 14:15:00+00:00,154480,154500,154210
2025-11-17 14:20:00+00:00,154390,154490,154330
2025-11-17 14:25:00+00:00,154460,154530,154370
2025-11-17 14:30:00+00:00,154320,154490,154180
2025-11-17 14:35:00+00:00,154190,154330,154020
2025-11-17 14:40:00+00:00,154190,154290,154050
2025-11-17 14:45:00+00:00,154210,154290,154180
2025-11-17 14:50:00+00:00,154420,154470,154210
2025-11-17 14:55:00+00:00,154500,154510,154320
2025-11-17 15:00:00+00:00,154620,154690,154460
2025-11-17 15:05:00+00:00,154490,154670,154460
2025-11-17 15:10:00+00:00,154420,154650,154390
2025-11-17 15:15:00+00:00,154500,154530,154360
2025-11-17 15:20:00+00:00,154660,154690,154470
2025-11-17 15:25:00+00:00,154590,154700,154530
2025-11-17 15:30:00+00:00,154520,154630,154410
2025-11-17 15:35:00+00:00,154560,154650,154460
2025-11-17 15:40:00+00:00,154600,154620,154450
2025-11-17 15:45:00+00:00,154560,154620,154490
2025-11-17 15:50:00+00:00,154620,154660,154530
2025-11-17 15:55:00+00:00,154430,154610,154420
2025-11-17 16:00:00+00:00,154540,154540,154330
2025-11-17 16:05:00+00:00,154560,154560,154480
2025-11-17 16:10:00+00:00,154520,154580,154470
2025-11-17 16:15:00+00:00,154520,154530,154440
2025-11-17 16:20:00+00:00,154520,154580,154460
2025-11-17 16:25:00+00:00,154630,154630,154460
2025-11-17 16:30:00+00:00,154580,154740,154560
2025-11-17 16:35:00+00:00,154530,154590,154510
2025-11-17 16:40:00+00:00,154460,154540,154450
2025-11-17 16:45:00+00:00,154590,154630,154460
2025-11-17 16:50:00+00:00,154580,154620,154550
2025-11-17 16:55:00+00:00,154620,154670,154550
2025-11-17 17:00:00+00:00,154600,154730,154570
2025-11-17 17:05:00+00:00,154510,154620,154490
2025-11-17 17:10:00+00:00,154540,154560,154450
2025-11-17 17:15:00+00:00,154570,154600,154510
2025-11-17 17:20:00+00:00,154620,154640,154550
2025-11-17 17:25:00+00:00,154620,154630,154550
